Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Tom Lynch,ADE,FWD,407900,75.9,83,0,83,456603,48703,13,81.69,6.04,76.47,93,0.15,11.77,8.17,6.12,5.6,0.81,
Alex Witherden,WCE,DEF,456100,94.3,83,0,83,455760,-340,6,93.33,6.86,35.29,69,0.5,13.45,9.27,2.83,4.2,2.66,
Hamish Hartlett,POR,DEF,421900,78.5,83,0,83,453228,31328,17,86.42,4.79,100,73.17,0.16,12.45,6.48,8,4.44,0.86,
Sam Petrevski-Seton,CAR,DEF,401400,74.7,82,0,82,452244,50844,16,80.17,4.82,94.12,81,0.31,11.55,6.52,7.53,4.9,1.66,
Caleb Serong,FRE,MID,435600,81.1,82,0,82,452244,16644,14,79.79,5.62,82.35,88.8,0.21,11.5,7.6,6.59,5.35,1.12,
Jason Johannisen,WBD,DEF,448300,83.4,82,0,82,450416,2116,16,81.71,5.07,94.12,75.75,0.24,11.77,6.86,7.53,4.59,1.28,
Nick Coffield,STK,DEF,426500,79.4,82,0,82,450135,23635,16,78.94,5.21,94.12,85.29,0.17,11.37,7.05,7.53,5.15,0.91,
Trent McKenzie,POR,DEF,388300,72.3,82,0,82,449572,61272,15,107,3.75,88.24,72.83,0,15.41,5.07,7.06,4.42,0.01,
Toby Greene,GWS,FWD,448400,83.5,82,0,82,449572,1172,13,92.19,5.31,76.47,61,0.31,13.28,7.18,6.12,3.73,1.66,
Jack Gunston,HAW,FWD,438200,81.6,82,0,82,447744,9544,16,88.8,3.57,94.12,94.25,0.19,12.79,4.83,7.53,5.67,1.02,
Dion Prestia,RIC,MID,446800,92.4,81,-4,77,446338,-462,5,101.85,6.74,29.41,83,0.11,14.67,9.11,2.36,5.01,0.59,3 week injury
Sean Darcy,FRE,RUC,420100,78.2,81,0,81,444369,24269,15,76.53,5.215,88.24,89.4,0.2,11.03,7.05,7.06,5.39,1.07,
Karl Amon,POR,MID,431400,80.3,81,0,81,444088,12688,17,78,5.22,100,77.5,0.11,11.24,7.06,8,4.69,0.59,
Jade Gresham,STK,MID,438100,81.5,81,0,81,442963,4863,11,81.9,6.03,64.71,81.5,0.27,11.8,8.15,5.18,4.93,1.44,
Michael Hurley,ESS,DEF,431400,80.3,81,0,81,442400,11000,14,93.52,5.2,82.35,59,0.14,13.47,7.03,6.59,3.62,0.75,
Jack Redden,WCE,MID,377900,70.3,80,0,80,440994,63094,12,93.85,5.48,70.59,65,0.15,13.52,7.41,5.65,3.97,0.81,
Tom Doedee,ADE,DEF,457900,85.2,80,0,80,440853,-17047,9,84.22,5.07,52.94,85.2,0.56,12.13,6.86,4.24,5.14,2.98,
Charlie Dixon,POR,FWD,498700,92.8,80,0,80,440291,-58409,16,87.39,3.06,94.12,87.83,0.33,12.59,4.14,7.53,5.29,1.76,
James Harmes,MEL,DEF,344700,64.2,80,0,80,439869,95169,13,91.96,4.98,76.47,78.5,0.08,13.25,6.73,6.12,4.75,0.43,
Brandan Parfitt,GEE,MID,455100,84.7,80,0,80,439588,-15512,14,83.44,4.99,82.35,82.62,0.17,12.02,6.75,6.59,4.99,0.91,
Harris Andrews,BRI,DEF,469700,87.4,80,0,80,439307,-30393,14,86.56,3.82,82.35,88.75,0.31,12.47,5.17,6.59,5.35,1.66,
