"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"193","Jake Lever","MEL","DEF",76,418001,419400,-1399,17,78.1,77.06,3.53,100,83.5,0.18,13.88,1.84,8,3.15,1.54,0
"194","Zac Bailey","BRI","MID",76,417707,420300,-2593,17,78.2,74.95,4.8,100,68,0.21,13.5,2.5,8,2.59,1.8,0
"195","Zac Bailey","BRI","FWD",76,417707,420300,-2593,17,78.2,74.95,4.8,100,68,0.21,13.5,2.5,8,2.59,1.8,0
"196","Shane Mumford","GWS","RUC",76,417560,420700,-3140,10,78.3,90.84,4.69,58.82,83.67,0.2,16.36,2.44,4.71,3.16,1.71,0
"197","Dion Prestia","RIC","MID",76,416236,446800,-30564,5,92.4,101.85,6.74,29.41,83,0.11,18.34,3.51,2.36,3.13,0.95,0
"198","Oliver Florent","SYD","MID",76,416236,408300,7936,17,76,75,5.61,100,60.6,0.18,13.51,2.92,8,2.32,1.54,0
"199","Tom Phillips","HAW","MID",76,416089,402600,13489,15,74.9,84.14,5.17,88.24,73,0.07,15.15,2.69,7.06,2.77,0.61,0
"200","Tom Phillips","HAW","FWD",76,416089,402600,13489,15,74.9,84.14,5.17,88.24,73,0.07,15.15,2.69,7.06,2.77,0.61,0
"201","Tim Membrey","STK","FWD",76,415353,363700,51653,16,67.7,79.67,3.5,94.12,80.83,0.17,14.35,1.83,7.53,3.06,1.46,0
"202","Sam Collins","GCS","DEF",76,415059,422500,-7441,17,78.6,77.65,3.61,100,74,0.18,13.98,1.88,8,2.81,1.54,0
"203","James Aish","FRE","MID",75,413734,404600,9134,16,75.3,73.94,5.52,94.12,73,0.19,13.32,2.87,7.53,2.77,1.63,0
"204","Jacob Weitering","CAR","DEF",75,412852,410400,2452,17,74.7,73.71,3.93,100,84.4,0.18,13.28,2.05,8,3.19,1.54,0
"205","Zach Tuohy","GEE","MID",75,412852,405100,7752,15,75.4,81.11,5.36,88.24,69.71,0.11,14.61,2.79,7.06,2.65,0.95,0
"206","Blake Acres","FRE","MID",75,410939,453600,-42661,7,84.4,83.43,6.38,41.18,69,0.43,15.02,3.32,3.3,2.63,3.66,0
"207","Ben Ainsworth","GCS","FWD",75,410792,406300,4492,16,75.6,74.62,4.97,94.12,88.5,0.12,13.44,2.59,7.53,3.33,1.03,0
"208","Callan Ward","GWS","MID",75,410203,409900,303,7,76.3,99.42,4.98,41.18,76.3,0.14,17.9,2.59,3.3,2.89,1.2,0
"209","Jack Newnes","CAR","MID",75,410203,401700,8503,17,74.8,73.76,4.62,100,83.6,0.12,13.28,2.41,8,3.16,1.03,0
"210","Jack Newnes","CAR","FWD",75,410203,401700,8503,17,74.8,73.76,4.62,100,83.6,0.12,13.28,2.41,8,3.16,1.03,0
"211","Harry Cunningham","SYD","DEF",75,410056,410400,-344,17,74.7,77.33,5.08,100,73,0.06,13.93,2.65,8,2.77,0.52,0
"212","Mitch Wallis","WBD","FWD",74,407261,379900,27361,17,70.7,85.89,2.98,100,55.4,0.06,15.47,1.56,8,2.13,0.52,0
"213","Luke Breust","HAW","FWD",74,405789,428100,-22311,13,81.5,83.62,3.44,76.47,88,0.15,15.06,1.79,6.12,3.32,1.29,0
"214","Shaun Atley","NME","DEF",74,405642,404200,1442,17,75.2,74.24,5.25,100,64,0.12,13.37,2.73,8,2.44,1.03,0
"215","Charlie Cameron","BRI","FWD",74,404465,395400,9065,17,73.6,73.81,3.33,100,70,0.21,13.29,1.74,8,2.66,1.8,0
"216","Liam Baker","RIC","DEF",74,404171,419100,-14929,16,78,75.2,5.12,94.12,75.78,0.1,13.54,2.67,7.53,2.87,0.86,0
"217","Marc Pittonet","CAR","RUC",74,403288,421500,-18212,13,78.5,77.46,5.215,76.47,88.5,0.15,13.95,2.72,6.12,3.33,1.29,0
"218","Isaac Smith","GEE","MID",73,402405,397600,4805,10,74,80,5.49,58.82,74,0.3,14.41,2.86,4.71,2.81,2.56,0
"219","Isaac Smith","GEE","FWD",73,402405,397600,4805,10,74,80,5.49,58.82,74,0.3,14.41,2.86,4.71,2.81,2.56,0
"220","Jack Riewoldt","RIC","FWD",73,401817,344500,57317,17,64.1,82.54,2.84,100,66.22,0.05,14.86,1.48,8,2.53,0.44,0
