,Name,Team,Position,Proj_Score,Price,adp
292,Callum Ah Chee,BRI,DEF,68,353300,-14
294,Reece Conca,FRE,DEF,68,370300,-14
296,Will Day,HAW,DEF,68,384400,-14
298,Lachie Plowman,CAR,DEF,68,354900,-14
300,Jake Kelly,ADE,DEF,68,309800,-14
405,Max King,STK,FWD,59,327400,-14
408,Jake Aarts,RIC,FWD,59,329400,-14
158,Caleb Serong,FRE,MID,82,435600,-15
307,Robbie Fox,SYD,DEF,67,385700,-15
308,Harry Morrison,HAW,DEF,67,358500,-15
310,Aliir Aliir,POR,DEF,67,321200,-15
311,Grant Birchall,BRI,DEF,67,375300,-15
314,Taylin Duman,FRE,DEF,67,354600,-15
417,Tom Atkins,GEE,FWD,58,293500,-15
419,Eddie Betts,CAR,FWD,58,308800,-15
421,Ben King,GCS,FWD,58,298700,-15
422,Lachlan Murphy,ADE,FWD,58,328600,-15
423,Tom McCartin,SYD,FWD,58,312800,-15
424,Dean Kent,STK,FWD,58,335200,-15
166,Karl Amon,POR,MID,81,431400,-16
167,Jade Gresham,STK,MID,81,438100,-16
319,Mason Redman,ESS,DEF,66,330200,-16
320,Jarrod Harbrow,GCS,DEF,66,309100,-16
321,Jack Henry,GEE,DEF,66,325500,-16
322,Jake Carlisle,STK,DEF,66,372500,-16
323,Bryce Gibbs,ADE,DEF,66,290100,-16
425,Daniel McStay,BRI,FWD,57,333800,-16
427,Lin Jong,WBD,FWD,57,318100,-16
429,Jack Lonie,STK,FWD,57,351200,-16
430,Josh Bruce,WBD,FWD,57,275000,-16
431,Lachie Fogarty,CAR,FWD,57,319100,-16
432,Aaron Naughton,WBD,FWD,57,329700,-16
169,Jack Redden,WCE,MID,80,377900,-17
173,Brandan Parfitt,GEE,MID,80,455100,-17
175,Jack Graham,RIC,MID,80,446400,-17
177,James Aish,FRE,MID,80,404600,-17
178,Oliver Florent,SYD,MID,80,408300,-17
231,Jonathon Ceglar,HAW,RUC,74,388100,-17
234,Sam Naismith,SYD,RUC,74,376100,-17
325,Isaac Quaynor,COL,DEF,65,405300,-17
327,Trent Rivers,MEL,DEF,65,350400,-17
328,Noah Balta,RIC,DEF,65,373600,-17
330,Taylor Duryea,WBD,DEF,65,342200,-17
331,Tom Clurey,POR,DEF,65,335500,-17
336,Lachlan Keeffe,GWS,DEF,65,372800,-17
437,Harry Schoenberg,ADE,FWD,56,315600,-17
183,Tom Phillips,HAW,MID,79,402600,-18
