"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"128","Nick Vlastuin","RIC","DEF",77,404619,483500,-78881,16,90,91.62,4.7,94.12,81.89,0.35,10.73,4.8,7.39,4.95,3.73
"129","Jared Polec","NME","MID",77,403723,477800,-74077,13,88.9,88.92,6.41,76.47,94.5,0.23,10.21,7.65,5.54,5.68,2.45
"130","Robbie Tarrant","NME","DEF",77,402699,463100,-60401,16,86.2,86.19,5.21,94.12,90,0.31,9.69,5.65,7.39,5.42,3.3
"131","Darcy Byrne-Jones","POR","DEF",77,402186,441800,-39614,17,82.2,90,5.47,100,86.17,0.16,10.42,6.08,8,5.2,1.71
"132","Angus Brayshaw","MEL","MID",76,401674,435200,-33526,14,81,97.79,5.61,82.35,78.33,0.21,11.92,6.31,6.16,4.74,2.24
"133","Toby Greene","GWS","FWD",76,400650,448400,-47750,13,83.5,102.93,5.31,76.47,61,0.31,12.91,5.81,5.54,3.73,3.3
"134","Shai Bolton","RIC","MID",76,399754,462400,-62646,15,86.1,85.84,5.46,88.24,88.88,0.32,9.62,6.06,6.77,5.36,3.41
"135","Shai Bolton","RIC","FWD",76,399754,462400,-62646,15,86.1,85.84,5.46,88.24,88.88,0.32,9.62,6.06,6.77,5.36,3.41
"136","Brandon Ellis","GCS","MID",76,398217,450600,-52383,16,83.9,83.88,6.42,94.12,78.8,0.19,9.25,7.66,7.39,4.77,2.03
"137","Jason Johannisen","WBD","DEF",76,397577,448300,-50723,16,83.4,93.53,5.07,94.12,75.75,0.24,11.1,5.41,7.39,4.59,2.56
"138","Oscar McInerney","BRI","RUC",75,396680,443400,-46720,17,82.5,83.21,5.4775,100,82.71,0.26,9.12,6.09,8,5,2.77
"139","Kane Lambert","RIC","FWD",75,396296,445900,-49604,16,83,89.04,5.38,94.12,78,0.25,10.24,5.93,7.39,4.72,2.67
"140","Ben Keays","ADE","MID",75,392583,436200,-43617,16,81.2,81.19,5.86,94.12,85.2,0.25,8.73,6.73,7.39,5.14,2.67
"141","Bailey Williams","WBD","DEF",75,392327,452600,-60273,17,84.2,85.39,5.34,100,80.8,0.22,9.54,5.86,8,4.89,2.35
"142","Hunter Clark","STK","DEF",75,391687,438900,-47213,16,81.7,81.28,5.89,94.12,77.33,0.28,8.75,6.78,7.39,4.68,2.99
"143","Alex Witherden","WCE","DEF",74,389382,456100,-66718,6,94.3,94.33,6.86,35.29,69,0.5,11.25,8.4,1.24,4.2,5.32
"144","Mitch Robinson","BRI","MID",74,389382,418800,-29418,17,77.9,96.67,4.91,100,72.14,0.11,11.7,5.15,8,4.38,1.18
"145","Jack Bowes","GCS","DEF",74,389126,451300,-62174,17,84,84,5.98,100,70.2,0.18,9.27,6.93,8,4.27,1.92
"146","Kyle Langford","ESS","MID",74,388486,436900,-48414,16,81.3,81.31,5.95,94.12,87.67,0.19,8.75,6.88,7.39,5.29,2.03
"147","Kyle Langford","ESS","FWD",74,388486,436900,-48414,16,81.3,81.31,5.95,94.12,87.67,0.19,8.75,6.88,7.39,5.29,2.03
"148","Zak Butters","POR","FWD",73,384516,471400,-86884,15,87.7,85.82,4.73,88.24,83.75,0.35,9.62,4.85,6.77,5.06,3.73
"149","Tom Lynch","ADE","FWD",73,384388,407900,-23512,13,75.9,89.12,6.04,76.47,93,0.15,10.25,7.03,5.54,5.6,1.6
"150","Chad Wingard","HAW","FWD",73,384132,452300,-68168,17,84.2,84.18,4.67,100,80.4,0.29,9.3,4.75,8,4.86,3.09
"151","Liam Ryan","WCE","FWD",73,383364,409600,-26236,17,76.2,78.33,3.76,100,106.5,0.39,8.18,3.23,8,6.38,4.15
"152","Jack Lukosius","GCS","DEF",73,380931,430800,-49869,17,80.2,80.18,5.73,100,68,0.24,8.54,6.51,8,4.14,2.56
"153","Michael Hurley","ESS","DEF",72,380803,431400,-50597,14,80.3,102.52,5.2,82.35,59,0.14,12.83,5.63,6.16,3.62,1.5
"154","Shane Mumford","GWS","RUC",72,380419,420700,-40281,10,78.3,108.84,4.69,58.82,83.67,0.2,14.04,4.78,3.7,5.05,2.14
"155","Sam Petrevski-Seton","CAR","DEF",72,380291,401400,-21109,16,74.7,83.17,4.82,94.12,81,0.31,9.11,5,7.39,4.9,3.3
"156","Noah Anderson","GCS","MID",72,379907,411500,-31593,17,76.6,76.59,5.79,100,87.8,0.18,7.85,6.61,8,5.29,1.92
"157","Jack Gunston","HAW","FWD",72,378626,438200,-59574,16,81.6,96,3.57,94.12,94.25,0.19,11.57,2.91,7.39,5.67,2.03
"158","Josh Daicos","COL","MID",72,377218,442200,-64982,16,82.3,80.22,5.5,94.12,83.57,0.22,8.54,6.13,7.39,5.05,2.35
"159","Ben McEvoy","HAW","DEF",71,371328,456000,-84672,16,84.9,100.79,2.8,94.12,79.75,0.25,12.49,1.63,7.39,4.82,2.67
"160","Jack Redden","WCE","MID",70,370175,377900,-7725,12,70.3,99.85,5.48,70.59,65,0.15,12.31,6.1,4.93,3.97,1.6
"161","Michael Hibberd","MEL","DEF",70,368767,378000,-9233,14,70.4,100.1,5.16,82.35,65,0.07,12.36,5.56,6.16,3.97,0.75
"162","Charlie Dixon","POR","FWD",70,368511,498700,-130189,16,92.8,90.52,3.06,94.12,87.83,0.33,10.52,2.06,7.39,5.29,3.52
"163","Caleb Serong","FRE","MID",70,367871,435600,-67729,14,81.1,80.79,5.62,82.35,88.8,0.21,8.65,6.33,6.16,5.35,2.24
"164","Trent McKenzie","POR","DEF",70,367102,388300,-21198,15,72.3,110,3.75,88.24,72.83,0,14.26,3.21,6.77,4.42,0.01
"165","Jack Darling","WCE","FWD",70,366078,434900,-68822,17,80.9,88,3.28,100,85,0.28,10.04,2.43,8,5.13,2.99
"166","Zach Tuohy","GEE","MID",70,365310,405100,-39790,15,75.4,90.11,5.36,88.24,69.71,0.11,10.44,5.9,6.77,4.24,1.18
"167","Nick Coffield","STK","DEF",69,364926,426500,-61574,16,79.4,79.94,5.21,94.12,85.29,0.17,8.49,5.65,7.39,5.15,1.82
"168","Dion Prestia","RIC","MID",69,362109,446800,-84691,5,92.4,104.85,6.74,29.41,83,0.11,13.27,8.2,0.62,5.01,1.18
